Product;Water Content;Protein Content;Fat Content;Carb Content;Ash Content;Initial Freezing Temperature
Apple;0,8393;0,0019;0,0036;0,1525;0,0027;-1,1
Artichoke;0,8494;0,0327;0,0015;0,1051;0,0113;-1,2
Bacon;0,3158;0,0866;0,5754;0,0009;0,0213;-2,2
Bean Pods;0,7024;0,0684;0,0086;0,2016;0,019;-0,6
Bread Cheese Dough;0,37665;0,0655;0,207;0,341;0,00985;-8
Bread Dough;0,385;0,082666667;0,4897;0,036666667;0,005966667;-8
Butter;0,1794;0,0085;0,8111;0,0006;0,0004;-3
Calf Meat;0,7591;0,202;0,0287;0;0,0102;-1,7
Cheese Prato;0,424;0,227;0,291;0,019;0,039;-3
Chicken;0,6599;0,186;0,1506;0;0,0035;-2,8
Codfish;0,8122;0,1781;0,0067;0;0,003;-2,2
Crayfish;0,776;0,188;0,009;0,005;0,022;-2,2
Duck;0,485;0,1149;0,3934;0;0,0067;-2,8
Egg White;0,8781;0,1052;0;0,0103;0,0064;-0,6
Egg Whole;0,7533;0,1249;0,1002;0,0122;0,0094;-0,6
Egg Yolk;0,4881;0,1676;0,3087;0,0178;0,0178;-0,6
Ham;0,6826;0,2232;0,0571;0,0005;0,0366;-2,2
Hamburger;0,663;0,197;0,114;0;0,026;-1,9
Lean Meat;0,7083;0,2203;0,0489;0;0,0225;-1,7
Liver;0,6899;0,2;0,0385;0,0582;0,0134;-1,7
Livestock Carcass;0,5726;0,1732;0,2405;0;0,0137;-2,2
Lobster;0,7585;0,2031;0,0173;0,0091;0,012;-2,2
Loin;0,717;0,2124;0,044;0;0,0266;-1,7
Merluza;0,7908;0,1831;0,0131;0;0,013;-2,2
Mortadella;0,4801;0,135;0,3209;0,0313;0,0327;-1,7
Oyster;0,8516;0,0705;0,0246;0,0391;0,0142;-2,2
Pig Carcass;0,4983;0,1391;0,3507;0;0,0119;-2,2
Pork Fat;0,0769;0,0292;0,8869;0;0,007;-2,2
Potato;0,829;0,018;0;0,147;0,006;-0,6
Ribs;0,5454;0,1637;0,2698;0;0,0211;-1,7
Salmon;0,7539;0,1994;0,0345;0;0,0122;-2,2
Sausages, Hot Dog;0,5387;0,1128;0,2915;0,0255;0,0315;-2,2
Sausages, Smoked;0,393;0,222;0,313;0,021;0,051;-2,6
Shellfish;0,8182;0,1277;0,0097;0,0257;0,0187;-2,2
Sole;0,7554;0,2081;0,0229;0;0,0136;-2,2
Steak;0,6959;0,2027;0,0818;0;0,0196;-1,7
Tuna;0,7059;0,2333;0,049;0;0,0118;-2,2
Turkey;0,704;0,2042;0,0802;0;0,0116;-2,8
